"","Date","AAPL.csv","TSLA.csv","AMZN.csv","GOOG.csv","NFLX.csv","FB.csv"
"1","2019-03-11",178.899994,290.920013,1670.619995,1175.76001,358.859985,172.070007
"2","2019-03-12",180.910004,283.359985,1673.099976,1193.199951,356.269989,171.919998
"3","2019-03-13",181.710007,288.959991,1690.810059,1193.319946,361.209991,173.369995
"4","2019-03-14",183.729996,289.959991,1686.219971,1185.550049,358.820007,170.169998
"5","2019-03-15",186.119995,275.429993,1712.359985,1184.459961,361.459991,165.979996
"6","2019-03-18",188.020004,269.48999,1742.150024,1184.26001,363.440002,160.470001
"7","2019-03-19",186.529999,267.470001,1761.849976,1198.849976,358.779999,161.570007
"8","2019-03-20",188.160004,273.600006,1797.27002,1223.969971,375.220001,165.440002
"9","2019-03-21",195.089996,274.019989,1819.26001,1231.540039,377.869995,166.080002
"10","2019-03-22",191.050003,264.529999,1764.77002,1205.5,361.01001,164.339996
"11","2019-03-25",188.740005,260.420013,1774.26001,1193,366.230011,166.289993
"12","2019-03-26",186.789993,267.769989,1783.76001,1184.619995,359.970001,167.679993
"13","2019-03-27",188.470001,274.829987,1765.699951,1173.02002,353.369995,165.869995
"14","2019-03-28",188.720001,278.619995,1773.420044,1168.48999,354.609985,165.550003
"15","2019-03-29",189.949997,279.859985,1780.75,1173.310059,356.559998,166.690002
"16","2019-04-01",191.240005,289.179993,1814.189941,1194.430054,366.959991,168.699997
"17","2019-04-02",194.020004,285.880005,1813.97998,1200.48999,367.720001,174.199997
"18","2019-04-03",195.350006,291.809998,1820.699951,1205.920044,369.75,173.539993
"19","2019-04-04",195.690002,267.779999,1818.859985,1215,367.880005,176.020004
"20","2019-04-05",197,274.959991,1837.280029,1207.150024,365.48999,175.720001
"21","2019-04-08",200.100006,273.200012,1849.859985,1203.839966,361.410004,174.929993
